hold0,hold1,hold2,hold3,flight01,flight12,flight23,label
242,187,231,213,393,359,308,2
209,210,212,198,281,327,220,2
209,185,0,202,251,512,205,2
206,191,202,217,262,329,230,2
204,210,0,222,292,540,179,2
220,197,226,223,235,269,225,2
217,226,228,239,250,283,220,2
235,207,0,227,219,493,282,2
223,201,238,227,232,274,227,2
222,224,248,228,237,266,212,2
243,224,1,225,244,513,238,2
215,205,0,227,303,497,228,2
213,212,211,223,277,282,236,2
209,219,242,0,249,289,457,2
224,0,230,259,424,320,268,2
252,199,264,267,286,404,223,2
229,230,268,248,276,277,223,2
220,0,0,233,467,546,303,2
239,0,218,246,459,322,249,2
271,227,241,223,217,331,318,2
244,198,234,275,239,295,243,2
206,212,224,229,217,282,291,2
219,199,226,227,235,285,259,2
212,220,0,230,226,519,233,2
240,194,230,241,238,264,219,2
218,253,217,0,297,290,513,2
229,242,247,200,373,311,350,2
241,212,231,238,343,264,325,2
240,229,235,191,308,351,275,2
194,195,198,186,250,274,249,2
225,173,166,277,376,571,423,2
214,190,219,269,597,428,584,2
204,153,177,181,481,410,527,2
227,167,187,234,489,481,537,2
209,242,220,239,459,305,298,2
229,0,217,0,546,345,743,2
198,244,251,227,374,296,344,2
214,229,0,237,377,483,280,2
224,228,0,269,275,607,368,2
211,198,0,309,355,549,341,2
220,200,233,287,1327,375,397,2
230,0,236,0,914,308,852,2
182,197,45,232,281,273,437,2
215,0,177,206,514,564,308,2
200,422,350,244,341,445,239,2
223,218,294,284,421,342,323,2
220,259,212,454,267,282,472,2
271,265,296,435,335,305,384,2
367,296,323,550,322,325,396,2
262,334,329,480,875,307,343,2
272,331,326,448,857,335,336,2
1,423,427,572,412,363,432,2
394,340,439,0,603,296,778,2
