hold0,hold1,hold2,hold3,flight01,flight12,flight23,label
180,165,174,159,1099,1235,1033,5
166,151,169,179,1266,1272,1139,5
179,147,186,155,1153,1192,1303,5
145,149,166,166,1197,1182,1289,5
156,120,147,110,1180,1136,1081,5
123,142,145,109,1161,1075,1186,5
113,122,121,127,1148,1199,1261,5
98,120,133,128,1144,1139,1187,5
136,130,121,128,1187,1150,1275,5
144,144,128,146,1136,1062,1190,5
124,104,122,131,1054,1130,1205,5
124,57,112,119,1206,1228,1292,5
146,129,123,122,1134,1278,1306,5
107,135,148,134,1229,1156,1362,5
115,145,131,125,1192,1103,1290,5
139,107,108,118,1139,1114,1304,5
115,128,122,110,1236,1091,1207,5
130,158,122,128,1428,1319,1454,5
131,126,158,132,1309,1293,1334,5
126,119,122,105,1387,1326,1243,5
122,129,136,143,1285,1354,1447,5
154,156,175,178,1232,1218,1455,5
181,155,161,169,1141,1137,1217,5
193,153,186,178,1188,1425,1425,5
167,197,185,169,1152,1221,1238,5
280,259,252,182,1271,1176,1273,5
219,192,185,198,1210,1027,1221,5
205,198,223,280,1332,1444,1391,5
235,216,235,207,1380,1424,1438,5
243,231,256,269,1187,1094,1317,5
272,310,368,561,1139,1064,1662,5
247,214,231,274,1188,1258,1729,5
273,242,237,232,1137,1102,1300,5
251,220,243,302,1142,1059,1169,5
237,292,279,292,1101,1232,1209,5
290,389,366,462,1183,1041,961,5
416,508,644,400,927,980,736,5
348,503,682,499,1452,1784,849,5
322,291,300,276,981,1167,1150,5
256,266,257,247,1776,1606,1895,5
280,284,294,338,1416,1246,1268,5
261,279,219,228,1247,1128,1159,5
280,280,285,280,1450,1156,1263,5
256,315,331,345,1074,1265,1156,5
301,368,325,350,1307,1267,1315,5
329,365,423,362,1204,1215,1174,5
332,389,357,352,1063,1110,1259,5
429,631,332,383,959,1118,1118,5
295,258,270,280,872,1041,913,5
322,340,390,394,1133,1164,1242,5
