hold0,hold1,hold2,hold3,flight01,flight12,flight23,label
201,209,191,217,291,248,248,0
186,186,183,199,294,321,297,0
191,161,157,206,300,299,373,0
2397,192,154,171,241,305,324,0
197,178,159,202,298,325,358,0
210,170,0,205,272,464,361,0
196,170,173,150,226,288,316,0
203,168,193,202,298,286,243,0
184,193,1,211,334,476,313,0
199,193,200,191,239,257,250,0
199,178,196,233,376,257,321,0
242,209,210,248,363,290,308,0
431,892,0,263,485,1256,751,0
205,179,0,232,296,2164,629,0
242,223,0,258,848,694,478,0
256,224,0,207,359,448,319,0
248,224,214,1,313,264,645,0
232,203,225,686,370,326,553,0
222,225,327,490,369,326,333,0
257,231,255,1,479,420,914,0
397,287,0,1700,384,867,458,0
306,306,1255,958,385,686,560,0
614,845,817,1125,526,640,604,0
866,924,829,1002,483,496,456,0
283,289,298,483,543,694,574,0
270,349,286,267,347,823,338,0
229,1,179,0,716,665,594,0
228,162,164,177,639,477,204,0
154,140,157,150,206,275,199,0
144,147,118,127,87,249,107,0
180,190,0,190,36,333,92,0
164,184,140,201,57,195,227,0
189,202,161,0,163,309,454,0
222,0,203,0,370,510,412,0
248,312,233,239,294,883,593,0
220,184,195,252,269,740,404,0
238,1,270,353,683,475,474,0
259,215,0,233,606,1192,646,0
247,195,208,164,605,522,476,0
189,183,165,0,326,271,586,0
199,185,0,160,315,535,272,0
1,223,176,177,227,303,294,0
192,201,0,171,219,378,264,0
0,180,211,230,232,220,260,0
227,241,259,231,365,147,242,0
226,217,0,221,260,477,246,0
244,228,606,231,264,302,490,0
0,0,832,1319,577,200,287,0
0,1108,0,903,162,1313,153,0
211,0,351,1,486,59,398,0
