hold0,hold1,hold2,hold3,flight01,flight12,flight23,label
130,162,127,131,287,272,283,3
145,135,128,124,381,402,354,3
1732,139,149,154,225,240,208,3
128,136,148,156,222,239,187,3
139,145,135,180,183,221,159,3
117,147,116,163,205,248,176,3
122,127,134,152,182,250,161,3
111,131,132,144,185,236,153,3
130,126,120,136,173,214,178,3
118,119,131,136,148,211,143,3
129,136,134,145,151,186,133,3
113,122,124,145,162,196,142,3
1698,145,134,154,160,195,160,3
128,148,140,157,157,196,141,3
1386,145,122,150,154,199,144,3
123,135,120,149,140,188,146,3
137,159,136,147,132,169,132,3
132,167,208,219,123,198,103,3
150,125,133,144,183,202,185,3
253,226,197,214,453,460,493,3
158,137,144,145,300,248,192,3
136,122,126,120,146,185,117,3
148,117,146,125,169,182,123,3
221,211,208,215,149,179,129,3
182,162,168,490,176,206,211,3
489,192,217,258,567,278,193,3
229,189,177,204,267,217,222,3
162,159,155,172,238,215,246,3
178,168,150,162,213,189,204,3
190,172,163,189,236,237,240,3
196,177,146,158,377,272,264,3
168,164,126,142,297,221,229,3
165,135,125,148,302,273,198,3
160,139,131,132,272,220,203,3
172,148,149,148,302,276,213,3
211,172,125,155,339,230,214,3
186,209,163,185,278,249,225,3
176,182,163,176,307,240,225,3
248,207,159,173,256,193,205,3
208,167,156,161,184,192,163,3
187,157,146,122,214,223,242,3
172,150,137,155,224,228,191,3
148,143,130,123,192,181,162,3
172,200,197,191,412,422,397,3
184,174,164,161,337,284,279,3
211,153,144,157,822,654,671,3
266,210,238,229,403,320,368,3
287,260,235,215,300,431,328,3
201,210,170,212,599,417,406,3
200,210,197,198,376,352,313,3
