hold0,hold1,hold2,hold3,flight01,flight12,flight23,label
574,0,824,749,961,273,179,1
1013,979,1137,0,103,66,991,1
1058,1308,1170,1146,152,341,155,1
1075,0,1208,1,1177,116,1224,1
1303,1391,1416,1276,98,163,45,1
1190,1403,1448,1148,92,61,193,1
1379,1308,1465,1320,34,59,52,1
1474,1503,1587,1466,118,15,161,1
1520,1572,1857,0,120,169,1651,1
1599,0,1752,1412,1636,81,86,1
1217,1723,2006,1712,198,54,11,1
0,1705,1873,1277,147,120,97,1
1751,1591,1774,1678,143,71,70,1
1366,1490,1720,1549,151,151,72,1
1591,1457,0,1600,99,1770,109,1
1429,1660,1784,2176,134,109,131,1
1910,0,1887,1659,1656,159,91,1
0,1,2100,1657,2057,38,51,1
0,2221,1888,2110,209,677,165,1
0,2075,0,1940,124,2188,47,1
2608,0,2146,1885,2179,105,122,1
2245,0,0,1801,2355,2639,59,1
1913,1687,1862,1930,767,909,526,1
1509,0,2018,0,2440,52,2410,1
1793,2033,2431,2212,45,77,63,1
1,1507,0,1801,136,1846,6,1
559,0,433,595,850,270,464,1
800,819,790,0,136,209,1002,1
292,194,259,218,170,298,240,1
0,0,283,205,310,50,127,1
0,1436,1727,1645,130,112,62,1
1849,1514,1604,1554,52,18,0,1
336,241,0,0,224,543,422,1
1418,1457,1764,1331,407,467,293,1
0,1263,1218,1412,362,325,351,1
1395,1340,0,1874,296,1703,315,1
0,1283,1403,1365,792,474,370,1
0,1372,0,1674,395,1722,339,1
1309,1758,1307,1806,274,571,425,1
1825,1418,0,1826,246,1877,416,1
1621,1709,1553,1767,339,383,379,1
1393,0,0,2135,1945,1933,314,1
1179,1512,1354,1475,226,388,539,1
1081,1274,1339,1424,314,445,361,1
1322,1291,1375,0,352,657,1783,1
207,166,193,196,175,260,184,1
1144,1403,0,2121,317,2018,290,1
1269,1705,1374,1397,359,271,403,1
0,1393,1520,0,292,429,1953,1
1528,1412,1709,1880,534,379,477,1
724,955,0,1163,481,1409,524,1
